id,alt_type,attack,card_bonus,number,command,cost,errata_text,faction,hit_points,keywords,loyalty,name,resource_bonus,shields,text,traits,type,unique,copies,cycle,designer,octgn_id,set,signature_id,starting_cards,starting_resources,planet_material,planet_stronghold,planet_tech,sector,tts_card_key,tts_sheet_id,tts_sheet_position,flavour_text
59,,4,,57,1,5,,Eldar,3,No Wargear Attachments.,,War Walker Squadron,,,"Reaction: After this unit is chosen as a defender, exhaust a Hardpoint attachment on it to cancel that attack.",Vehicle. Elite.,Army,,,Deathworld Cycle,FFG,379064fc-556b-491a-9e62-98e2864fea4e,Slash and Burn,,,,,,,,,,,
60,,2,,58,1,6,,Eldar,6,No Wargear Attachments. Flying.,Loyal,Phoenix Attack Fighter,,,"Reaction: After units are committed to this planet, deal 3 damage to an exhausted enemy unit at this planet.",Vehicle. Elite.,Army,,,Deathworld Cycle,FFG,a36bd987-6367-4f30-bd22-08b930059909,Slash and Burn,,,,,,,,,,,
61,,,,59,,1,,Eldar,,,,Webway Passage,,,Deploy Action: Exhaust this support to switch the location of two army units you control.,Upgrade.,Support,,,Deathworld Cycle,FFG,104ebc66-2392-4ded-a766-979cef7fa8b2,Slash and Burn,,,,,,,,,,,
62,,2,,60,1,4,,Tau,5,Ranged.,Loyal,Sniper Drone Team,,,"Reaction: After the ranged skirmish at this planet ends, ready this unit.",Soldier. Drone.,Army,,,Deathworld Cycle,FFG,b9579296-0fab-42bd-bc09-53c4cc86b51e,Slash and Burn,,,,,,,,,,,
63,,,,61,,,,Tau,,Deep Strike (0).,Loyal,Tactical Withdrawal,,2,"Reaction: After you Deep Strike this event, move any number of units you control at this planet to an adjacent planet.",Tactic.,Event,,,Deathworld Cycle,FFG,48412805-cbf7-432c-918b-66564800c5c6,Slash and Burn,,,,,,,,,,,
64,,1,,62,1,2,,Tyranid,3,,,Focal Warrior,,,Each Elite unit you control at this planet gains Brutal.,Creature. Kraken.,Army,,,Deathworld Cycle,FFG,cf0d9d24-64a3-47fe-8380-0247a784a4fe,Slash and Burn,,,,,,,,,,,
65,,,,63,,,,Tyranid,,Deep Strike (1).,,Flesh Hooks,,,Attach to an enemy army unit with printed cost 2 or lower. Attached unit cannot be readied.,Wargear. Biomorph.,Attachment,,,Deathworld Cycle,FFG,08079c7e-1c09-48cf-a4e8-806f0d0909c3,Slash and Burn,,,,,,,,,,,
66,,2,,64,1,5,,Necron,7,,,Rumbling Tomb Stalker,,,"Reaction: After this unit assigns damage by an attack, remove 1 damage from it.",Drone. Elite.,Army,,,Deathworld Cycle,FFG,e348ca1e-5218-4051-ae14-38b24a0fd1a1,Slash and Burn,,,,,,,,,,,
67,bloodied,1,,65,,,,Necron,5,Bloodied.,Signature,Illuminor Szeras,,,,Scholar.,Warlord,yes,,Deathworld Cycle,FFG,,Searching for Truth,,,,,,,,,,,
68,,1,,65,,,,Necron,8,,Signature,Illuminor Szeras,,,"Reaction: After you remove any amount of damage from a [Necron] army unit you control, gain 1N.",Scholar.,Warlord,yes,,Deathworld Cycle,FFG,41cc9922-0a59-4b54-9514-0bd193a16b09,Searching for Truth,29,7,6,,,,,,,,
69,,2,,66,1,2,,Necron,4,,Signature,Augmented Warriors,,,"Forced Reaction: After this unit enters play, deal it 2 unpreventable damage.",Soldier.,Army,,4,Deathworld Cycle,FFG,e54d11d8-7373-4596-baad-59776df6271d,Searching for Truth,29,,,,,,,,,,
70,,,,67,,2,,Necron,,,Signature,Dissection Chamber,,,"Forced Reaction: After an army unit enters play, deal it 1 damage.",Location.,Support,,1,Deathworld Cycle,FFG,03b7867e-2f5d-4c27-8caf-7985bac463a2,Searching for Truth,29,,,,,,,,,,
71,,,,68,,3,,Necron,,,Signature,Vivisection,,1,Action: Target a planet. Remove 1 damage from each [Necron] unit you control at the targeted planet and deal 1 damage to each non-[Necron] unit at the targeted planet.,Tactic.,Event,,2,Deathworld Cycle,FFG,c4034ca3-3e60-4118-b3fb-7c249ee4230f,Searching for Truth,29,,,,,,,,,,
72,,,,69,,1,,Necron,,,Signature,Eldritch Lance,,3,Attach to your warlord. Attached unit gets +1 ATK. Combat Action: Exhaust this attachment to remove 1 damage from a [Necron] unit at this planet.,Wargear. Weapon.,Attachment,,1,Deathworld Cycle,FFG,95e69a77-45a6-41ba-8f82-a68404d24820,Searching for Truth,29,,,,,,,,,,
73,,4,,70,2,5,,Space Marine,5,Deep Strike (3).,,Deathwing Terminators,,,"Reaction: After you Deep Strike this unit, it cannot be targeted by enemy card effects until the end of the first combat round.",Soldier. Dark Angels. Elite.,Army,,,Deathworld Cycle,FFG,df77bac2-c676-46c1-8464-6057ca1f7bf5,Searching for Truth,,,,,,,,,,,
74,,,,71,,2,,Space Marine,,,,Repent,,1,"Action: Each player exhausts a unit he controls with the highest printed cost among units he controls. Then, each unit exhausted by this effect deals X damage, where X is its ATK value, to the other player's unit exhausted by this effect.",Tactic.,Event,,,Deathworld Cycle,FFG,b625f304-a2a7-4ae3-9b59-071c2a3cabfd,Searching for Truth,,,,,,,,,,,
75,,1,,72,1,3,,Astra Militarum,6,,,Enginseer Mechanic,,,"Reaction: After a Vehicle unit you control at this planet is assigned damage, exhaust this unit to prevent up to 2 of that damage.",Scholar.,Army,,,Deathworld Cycle,FFG,b84d3e51-66cd-41a0-9657-0217374d9ede,Searching for Truth,,,,,,,,,,,
76,,2,,73,1,4,,Astra Militarum,4,No Wargear Attachments.,Loyal,Griffon Escort,,,"Reaction: After this unit enters play, put 2 Guardsman tokens into play at this planet.",Vehicle. Tank.,Army,,,Deathworld Cycle,FFG,bfab4876-fdbc-4eda-b568-353c6668c528,Searching for Truth,,,,,,,,,,,
77,,,,74,,1,,Astra Militarum,,,,Hot-Shot-Laspistol,,1,Attach to an army unit you control. Attached unit gets +2 ATK. Damage cannot be removed from units at the same planet as attached unit.,Weapon. Wargear.,Attachment,,,Deathworld Cycle,FFG,ae689ab8-a90c-4bf0-ac49-ee711122232c,Searching for Truth,,,,,,,,,,,
78,,2,,75,2,3,,Ork,4,,,Blood Axe Strategist,,,"Reaction: After an [Ork] unit you control at this planet resolves an attack, move it to an adjacent planet or your HQ.",Soldier.,Army,,,Deathworld Cycle,FFG,774e9b63-d9a7-4968-a668-89b21c911798,Searching for Truth,,,,,,,,,,,
79,,,,76,,1,,Ork,,,,idden Base,,,"Each card you control in reserve is treated as a 2 ATK, 2 HP [Ork] army unit during the combat phase.",Location.,Support,,,Deathworld Cycle,FFG,0d6b9ad4-3b0b-438e-ad0a-d1c89b9d5cc9,Searching for Truth,,,,,,,,,,,
80,,2,,77,1,4,,Chaos,3,Deep Strike (2). Area Effect (1).,Loyal,Noise Marines Warband,,,,Soldier. Slaanesh.,Army,,,Deathworld Cycle,FFG,7e8182dd-7b12-4d9a-a0b0-11a59378414e,Searching for Truth,,,,,,,,,,,
81,,,,78,,2,,Chaos,,,,Ominous Wind,,1,"Action: Draw X cards. X is the highest printed cost among units you control. Then, discard 4 cards from your hand.",Power. Nurgle.,Event,,,Deathworld Cycle,FFG,5073d197-0170-4557-a6c6-c30539b61316,Searching for Truth,,,,,,,,,,,
82,,2,,79,1,3,,Dark Eldar,3,,,Masked Hunter,,,"Reaction: After you declare this unit as an attacker, move a Khymera token from an adjacent planet to this planet.",Warrior. Beastmaster.,Army,,,Deathworld Cycle,FFG,c703141b-6bc8-4ec5-871b-9800150a017a,Searching for Truth,,,,,,,,,,,
83,,,,80,,,,Dark Eldar,,Deep Strike (0).,,Run Down,,1,"Reaction: After you Deep Strike this event, target a non-Elite army unit in your opponent's HQ. Move the targeted unit to this planet.",Tactic.,Event,,,Deathworld Cycle,FFG,5882bfa4-9418-43ab-aeca-f6af3856fcb7,Searching for Truth,,,,,,,,,,,
84,,4,,81,2,5,,Eldar,6,,,Shrieking Exarch,,,"As an additional cost to deploy this card, discard 2 cards from your hand. Reaction: After an army unit is destroyed at this planet, draw 1 card and deal 1 damage to a target enemy unit.",Warrior. Elite.,Army,,,Deathworld Cycle,FFG,94dde3c7-1008-4eb0-bfe0-9885130eb215,Searching for Truth,,,,,,,,,,,
85,,,,82,,0,,Eldar,,,,Ulthwe Spirit Stone,,1,"Attach to an [Eldar] army unit you control. Interrupt: When attached unit would be destroyed, return it to your hand instead.",Wargear. Ulthwe.,Attachment,,,Deathworld Cycle,FFG,8f9e8080-b1a8-4d6a-8746-e8b8bb9645f6,Searching for Truth,,,,,,,,,,,
86,,1,,83,1,2,,Tau,3,,,Herald of the Tau'va,,,"Each Elite unit you control at this planet gains Mobile. Forced Reaction: After this unit resolves its attack, move it to your HQ.",Soldier. Ethereal.,Army,,,Deathworld Cycle,FFG,dfdeea49-fbd1-4387-b134-f81a26d118a5,Searching for Truth,,,,,,,,,,,
87,,,,84,,1,,Tau,,,,Beleaguered Garrison,,,Each card you control in reserve is counted as a command icon at its planet when resolving command struggles.,Location.,Support,yes,,Deathworld Cycle,FFG,1fc7f59a-8968-4d5a-9934-0190eac6678d,Searching for Truth,,,,,,,,,,,
88,,0,,85,1,3,,Tyranid,2,Flying. Mobile.,,Mucolid Spores,,,"Interrupt: When this unit is destroyed, destroy up to 2 target enemy support cards.",Creature.,Army,,,Deathworld Cycle,FFG,eb3263a7-a8a5-40e2-b6d1-0c25dc725c13,Searching for Truth,,,,,,,,,,,
89,,,,86,,,,Tyranid,,Deep Strike (0).,,Burst Forth,,1,"Reaction: After you Deep Strike this event, commit either your warlord or a synapse unit you control to this planet.",Tactic.,Event,,,Deathworld Cycle,FFG,4a546924-ad0c-43b3-9b51-e901f1cb7522,Searching for Truth,,,,,,,,,,,
90,bloodied,2,,87,,,,Eldar,6,Bloodied.,Signature,Jain Zar,,,,Warrior. Phoenix Lord.,Warlord,yes,,Deathworld Cycle,FFG,,Against the Great Enemy,,,,,,,,,,,
